Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,519280,293150,-0.243323,52.523147,35,3,3,2,26/03/2012,2,17:44,393,E10000003,4,1091,6,30,3,4,6,0,0,0,1,1,1,0,0,2,1,E01018213
2.01E+12,518750,264460,-0.261295,52.265451,35,1,1,1,27/03/2012,3,20:27,393,E10000003,3,1,3,70,0,-1,-1,0,0,0,7,1,1,0,0,2,1,E01018119
2.01E+12,522990,272170,-0.196382,52.333802,35,3,2,1,28/03/2012,4,12:07,393,E10000003,3,14,3,70,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01018151
2.01E+12,532110,272230,-0.06259,52.332222,35,3,1,1,23/03/2012,6,04:04,393,E10000003,4,1040,6,40,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01018167
2.01E+12,533380,275270,-0.042757,52.35923,35,3,2,1,29/03/2012,5,08:45,393,E10000003,4,1040,6,60,6,4,5,119,0,0,1,1,1,0,0,2,1,E01018124
2.01E+12,512390,272070,-0.351913,52.335175,35,3,1,1,30/03/2012,6,09:17,393,E10000003,5,164,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018125
2.01E+12,517280,267120,-0.281901,52.28967,35,2,1,2,01/04/2012,1,16:20,393,E10000003,4,661,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018119
2.01E+12,533360,277750,-0.042065,52.381518,35,3,1,1,02/04/2012,2,12:40,393,E10000003,4,1040,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018196
2.01E+12,521390,264940,-0.222456,52.269188,35,3,2,1,03/04/2012,3,14:45,393,E10000003,4,1043,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018137
2.01E+12,528150,289550,-0.114044,52.488788,35,3,1,2,04/04/2012,4,12:04,393,E10000003,5,86,6,60,0,-1,-1,0,0,0,1,8,2,0,0,2,1,E01018157
2.01E+12,528800,281630,-0.10753,52.417472,35,3,1,1,04/04/2012,4,15:30,393,E10000003,4,1040,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01018208
2.01E+12,526480,278480,-0.142814,52.389708,35,3,2,2,05/04/2012,5,12:53,393,E10000003,5,112,6,60,6,4,5,111,0,0,1,9,-1,0,0,2,2,E01018196
2.01E+12,532440,267850,-0.059472,52.292788,35,2,1,1,05/04/2012,5,15:50,393,E10000003,3,14,3,70,8,4,6,0,0,0,1,1,1,0,0,2,1,E01018129
2.01E+12,531330,271270,-0.074405,52.323784,35,3,1,1,07/04/2012,7,10:40,393,E10000003,5,303,6,30,3,4,5,303,0,0,1,1,1,0,0,1,1,E01018168
2.01E+12,532090,279320,-0.060094,52.395932,35,3,1,2,08/04/2012,1,14:35,393,E10000003,4,1040,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018196
2.01E+12,522440,272650,-0.204275,52.338238,35,3,2,1,10/04/2012,3,09:00,393,E10000003,3,14,3,70,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01018151
2.01E+12,518650,264800,-0.26264,52.268528,35,3,1,1,10/04/2012,3,08:45,393,E10000003,3,1,3,70,9,4,6,0,0,0,1,5,2,0,0,2,1,E01018119
2.01E+12,523820,271730,-0.184369,52.329661,35,3,1,1,10/04/2012,3,09:25,393,E10000003,6,0,2,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01018151
2.01E+12,512880,295430,-0.336836,52.544998,35,3,1,1,11/04/2012,4,16:35,393,E10000003,3,605,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018127
2.01E+12,525100,270220,-0.166157,52.315803,35,3,2,1,11/04/2012,4,17:30,393,E10000003,6,0,6,30,3,4,6,0,0,0,1,9,1,0,0,2,2,E01018131
2.01E+12,513880,294010,-0.322583,52.532029,35,3,2,4,13/04/2012,6,14:15,393,E10000003,6,0,1,60,1,4,3,605,0,0,1,1,1,0,0,2,1,E01018127
2.01E+12,524340,271400,-0.176864,52.326579,35,2,2,1,16/04/2012,2,17:15,393,E10000003,4,1043,6,30,3,4,6,0,0,7,1,1,1,0,0,2,2,E01018132
