Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,543990,258350,0.105718,52.204533,35,3,2,1,02/05/2012,4,08:30,390,E10000003,6,0,6,20,8,4,6,0,0,0,1,1,1,0,0,1,2,E01017986
2.01E+12,545690,259990,0.131283,52.218821,35,3,2,1,14/05/2012,2,10:30,390,E10000003,3,1134,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01018007
2.01E+12,545050,258060,0.121094,52.201649,35,3,2,1,15/05/2012,3,09:43,390,E10000003,6,0,6,30,0,-1,-1,0,0,0,1,9,-1,0,0,1,2,E01017981
2.01E+12,546730,256570,0.145015,52.187819,35,3,2,1,10/05/2012,5,15:45,390,E10000003,5,235,6,30,3,2,6,0,0,4,1,8,2,0,0,1,2,E01017966
2.01E+12,546080,257940,0.136103,52.200299,35,3,2,1,17/05/2012,5,14:00,390,E10000003,5,280,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01017988
2.01E+12,546780,261150,0.14773,52.228953,35,3,2,1,17/05/2012,5,08:16,390,E10000003,3,1309,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01017971
2.01E+12,547170,258330,0.15221,52.203514,35,3,2,1,17/05/2012,5,12:00,390,E10000003,5,298,6,30,3,4,6,0,0,4,1,1,1,0,0,1,2,E01017997
2.01E+12,545250,256890,0.123518,52.191085,35,2,2,1,18/05/2012,6,17:35,390,E10000003,3,1309,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01018004
2.01E+12,545080,256400,0.120823,52.186727,35,3,2,1,19/05/2012,7,15:00,390,E10000003,3,1309,6,30,8,4,6,0,0,0,1,1,1,0,0,1,2,E01018004
2.01E+12,544310,259580,0.110921,52.2155,35,3,1,1,03/08/2012,6,22:45,390,E10000003,4,1049,6,30,0,-1,-1,0,0,0,7,1,1,0,0,1,2,E01017949
2.01E+12,547010,255590,0.148683,52.178939,35,3,2,1,22/05/2012,3,06:55,390,E10000003,3,1134,1,30,1,4,5,233,0,0,1,1,1,0,0,1,1,E01017993
2.01E+12,545450,258750,0.127239,52.207743,35,3,2,1,23/05/2012,4,21:30,390,E10000003,5,291,1,30,1,4,6,0,0,0,1,4,1,0,0,1,1,E01017982
2.01E+12,547320,258170,0.154334,52.202036,35,3,4,2,25/05/2012,6,15:15,390,E10000003,5,298,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01017997
2.01E+12,545490,258390,0.12767,52.204498,35,3,2,1,26/05/2012,7,09:47,390,E10000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01017983
2.01E+12,546070,257950,0.135962,52.200392,35,3,1,1,26/05/2012,7,22:20,390,E10000003,5,280,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01017988
2.01E+12,545380,257700,0.125765,52.198328,35,2,2,1,25/05/2012,6,09:00,390,E10000003,3,603,6,30,8,4,6,0,0,0,1,1,1,0,0,1,2,E01018005
2.01E+12,546390,260730,0.141842,52.225283,35,2,2,2,31/05/2012,5,08:52,390,E10000003,3,1309,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01017976
2.01E+12,545850,258370,0.132926,52.204224,35,3,2,1,01/06/2012,6,09:13,390,E10000003,3,603,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01017981
2.01E+12,544800,258380,0.117576,52.20459,35,3,2,1,02/06/2012,7,15:15,390,E10000003,6,0,6,20,0,-1,-1,0,0,0,1,2,2,0,0,1,2,E01017986
2.01E+12,545310,258120,0.124922,52.20212,35,3,2,1,02/06/2012,7,17:05,390,E10000003,5,295,6,30,3,4,6,0,0,4,1,2,2,0,0,1,2,E01017981
2.01E+12,545240,259840,0.124636,52.217592,35,3,2,1,04/06/2012,2,09:40,390,E10000003,5,289,6,30,8,4,6,0,0,0,1,1,1,0,0,1,2,E01018007
2.01E+12,545590,258680,0.129257,52.207077,35,3,2,1,05/06/2012,3,13:26,390,E10000003,6,0,2,30,0,-1,-1,0,0,0,1,9,1,0,0,1,2,E01017983
2.01E+12,548930,256120,0.176975,52.183186,35,3,2,1,06/06/2012,4,09:02,390,E10000003,5,235,6,40,8,4,6,0,0,0,1,1,1,0,0,1,1,E01017960
2.01E+12,546770,259150,0.146716,52.210987,35,3,2,2,06/06/2012,4,17:18,390,E10000003,3,1134,6,30,6,2,6,0,0,5,1,1,1,0,0,1,1,E01017943
2.01E+12,547040,258520,0.150392,52.205255,35,3,2,1,07/06/2012,5,11:30,390,E10000003,5,298,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01017997
2.01E+12,547440,257440,0.155771,52.195446,35,3,4,1,08/06/2012,6,07:30,390,E10000003,3,1134,6,30,0,-1,-1,0,0,0,1,9,1,0,0,1,2,E01017999
